,pred_VERDE,pred_AMARELO,pred_VERMELHO,pred_CINZA
true_VERDE,8.95,6.71,84.34,0.0
true_AMARELO,11.02,11.81,77.17,0.0
true_VERMELHO,10.61,6.97,82.42,0.0
true_CINZA,0.0,0.0,100.0,0.0
