threshold,tp,fp,fn,tn,recall,precision,pred_pos_rate
0.0,330,15133,0,0,1.0,0.021341266248464077,1.0
0.005025125628140704,330,15133,0,0,1.0,0.021341266248464077,1.0
0.010050251256281407,330,15133,0,0,1.0,0.021341266248464077,1.0
0.01507537688442211,330,15133,0,0,1.0,0.021341266248464077,1.0
0.020100502512562814,330,15133,0,0,1.0,0.021341266248464077,1.0
0.02512562814070352,330,15133,0,0,1.0,0.021341266248464077,1.0
0.03015075376884422,330,15133,0,0,1.0,0.021341266248464077,1.0
0.035175879396984924,330,15133,0,0,1.0,0.021341266248464077,1.0
0.04020100502512563,330,15133,0,0,1.0,0.021341266248464077,1.0
0.04522613065326633,330,15133,0,0,1.0,0.021341266248464077,1.0
0.05025125628140704,330,15133,0,0,1.0,0.021341266248464077,1.0
0.05527638190954774,330,15133,0,0,1.0,0.021341266248464077,1.0
0.06030150753768844,330,15133,0,0,1.0,0.021341266248464077,1.0
0.06532663316582915,330,15133,0,0,1.0,0.021341266248464077,1.0
0.07035175879396985,330,15133,0,0,1.0,0.021341266248464077,1.0
0.07537688442211056,330,15133,0,0,1.0,0.021341266248464077,1.0
0.08040201005025126,330,15133,0,0,1.0,0.021341266248464077,1.0
0.08542713567839195,330,15133,0,0,1.0,0.021341266248464077,1.0
0.09045226130653267,330,15133,0,0,1.0,0.021341266248464077,1.0
0.09547738693467336,330,15133,0,0,1.0,0.021341266248464077,1.0
0.10050251256281408,330,15133,0,0,1.0,0.021341266248464077,1.0
0.10552763819095477,330,15133,0,0,1.0,0.021341266248464077,1.0
0.11055276381909548,330,15133,0,0,1.0,0.021341266248464077,1.0
0.11557788944723618,330,15133,0,0,1.0,0.021341266248464077,1.0
0.12060301507537688,330,15133,0,0,1.0,0.021341266248464077,1.0
0.12562814070351758,330,15133,0,0,1.0,0.021341266248464077,1.0
0.1306532663316583,330,15133,0,0,1.0,0.021341266248464077,1.0
0.135678391959799,330,15133,0,0,1.0,0.021341266248464077,1.0
0.1407035175879397,330,15133,0,0,1.0,0.021341266248464077,1.0
0.1457286432160804,330,15133,0,0,1.0,0.021341266248464077,1.0
0.15075376884422112,330,15133,0,0,1.0,0.021341266248464077,1.0
0.15577889447236182,330,15133,0,0,1.0,0.021341266248464077,1.0
0.16080402010050251,330,15133,0,0,1.0,0.021341266248464077,1.0
0.1658291457286432,330,15133,0,0,1.0,0.021341266248464077,1.0
0.1708542713567839,330,15133,0,0,1.0,0.021341266248464077,1.0
0.17587939698492464,330,15133,0,0,1.0,0.021341266248464077,1.0
0.18090452261306533,330,15133,0,0,1.0,0.021341266248464077,1.0
0.18592964824120603,330,15133,0,0,1.0,0.021341266248464077,1.0
0.19095477386934673,330,15133,0,0,1.0,0.021341266248464077,1.0
0.19597989949748745,330,15133,0,0,1.0,0.021341266248464077,1.0
0.20100502512562815,330,15133,0,0,1.0,0.021341266248464077,1.0
0.20603015075376885,330,15133,0,0,1.0,0.021341266248464077,1.0
0.21105527638190955,330,15133,0,0,1.0,0.021341266248464077,1.0
0.21608040201005024,330,15133,0,0,1.0,0.021341266248464077,1.0
0.22110552763819097,330,15133,0,0,1.0,0.021341266248464077,1.0
0.22613065326633167,330,15133,0,0,1.0,0.021341266248464077,1.0
0.23115577889447236,330,15133,0,0,1.0,0.021341266248464077,1.0
0.23618090452261306,330,15133,0,0,1.0,0.021341266248464077,1.0
0.24120603015075376,330,15133,0,0,1.0,0.021341266248464077,1.0
0.24623115577889448,330,15133,0,0,1.0,0.021341266248464077,1.0
0.25125628140703515,330,15133,0,0,1.0,0.021341266248464077,1.0
0.2562814070351759,330,15133,0,0,1.0,0.021341266248464077,1.0
0.2613065326633166,330,15133,0,0,1.0,0.021341266248464077,1.0
0.2663316582914573,330,15133,0,0,1.0,0.021341266248464077,1.0
0.271356783919598,330,15133,0,0,1.0,0.021341266248464077,1.0
0.2763819095477387,330,15133,0,0,1.0,0.021341266248464077,1.0
0.2814070351758794,330,15133,0,0,1.0,0.021341266248464077,1.0
0.2864321608040201,330,15133,0,0,1.0,0.021341266248464077,1.0
0.2914572864321608,330,15133,0,0,1.0,0.021341266248464077,1.0
0.2964824120603015,330,15133,0,0,1.0,0.021341266248464077,1.0
0.30150753768844224,330,15133,0,0,1.0,0.021341266248464077,1.0
0.3065326633165829,330,15133,0,0,1.0,0.021341266248464077,1.0
0.31155778894472363,330,15133,0,0,1.0,0.021341266248464077,1.0
0.3165829145728643,330,15133,0,0,1.0,0.021341266248464077,1.0
0.32160804020100503,330,15133,0,0,1.0,0.021341266248464077,1.0
0.32663316582914576,330,15133,0,0,1.0,0.021341266248464077,1.0
0.3316582914572864,330,15133,0,0,1.0,0.021341266248464077,1.0
0.33668341708542715,330,15133,0,0,1.0,0.021341266248464077,1.0
0.3417085427135678,330,15133,0,0,1.0,0.021341266248464077,1.0
0.34673366834170855,330,15133,0,0,1.0,0.021341266248464077,1.0
0.35175879396984927,330,15133,0,0,1.0,0.021341266248464077,1.0
0.35678391959798994,330,15133,0,0,1.0,0.021341266248464077,1.0
0.36180904522613067,330,15133,0,0,1.0,0.021341266248464077,1.0
0.36683417085427134,330,15133,0,0,1.0,0.021341266248464077,1.0
0.37185929648241206,330,15133,0,0,1.0,0.021341266248464077,1.0
0.3768844221105528,330,15133,0,0,1.0,0.021341266248464077,1.0
0.38190954773869346,330,15133,0,0,1.0,0.021341266248464077,1.0
0.3869346733668342,330,15133,0,0,1.0,0.021341266248464077,1.0
0.3919597989949749,330,15133,0,0,1.0,0.021341266248464077,1.0
0.3969849246231156,330,15133,0,0,1.0,0.021341266248464077,1.0
0.4020100502512563,330,15133,0,0,1.0,0.021341266248464077,1.0
0.40703517587939697,330,15133,0,0,1.0,0.021341266248464077,1.0
0.4120603015075377,330,15133,0,0,1.0,0.021341266248464077,1.0
0.4170854271356784,330,15133,0,0,1.0,0.021341266248464077,1.0
0.4221105527638191,330,15133,0,0,1.0,0.021341266248464077,1.0
0.4271356783919598,330,15133,0,0,1.0,0.021341266248464077,1.0
0.4321608040201005,330,15133,0,0,1.0,0.021341266248464077,1.0
0.4371859296482412,330,15133,0,0,1.0,0.021341266248464077,1.0
0.44221105527638194,330,15133,0,0,1.0,0.021341266248464077,1.0
0.4472361809045226,330,15133,0,0,1.0,0.021341266248464077,1.0
0.45226130653266333,330,15133,0,0,1.0,0.021341266248464077,1.0
0.457286432160804,330,15133,0,0,1.0,0.021341266248464077,1.0
0.4623115577889447,330,15133,0,0,1.0,0.021341266248464077,1.0
0.46733668341708545,330,15133,0,0,1.0,0.021341266248464077,1.0
0.4723618090452261,330,15133,0,0,1.0,0.021341266248464077,1.0
0.47738693467336685,330,15133,0,0,1.0,0.021341266248464077,1.0
0.4824120603015075,330,15133,0,0,1.0,0.021341266248464077,1.0
0.48743718592964824,329,14911,1,222,0.996969696969697,0.021587926509186353,0.985578477656341
0.49246231155778897,300,13813,30,1320,0.9090909090909091,0.021256997094877064,0.912694819892647
0.49748743718592964,272,12754,58,2379,0.8242424242424242,0.020881314294487946,0.842397982280282
0.5025125628140703,193,8635,137,6498,0.5848484848484848,0.021862256456728592,0.5709112073983056
0.507537688442211,67,2579,263,12554,0.20303030303030303,0.025321239606953892,0.17111815301041194
0.5125628140703518,3,167,327,14966,0.00909090909090909,0.01764705882352941,0.010993985643148161
